date,region,Avg Loudness,Avg Speechiness,Avg Acousticness
2017-01-01,Africa / Middle East,0.68681422283998,0.103227148482737,0.18456211304146
2017-01-01,Asia / Australia,0.657246052794314,0.081109556392418,0.253102165167801
2017-01-01,Eastern Europe,0.68483199443335,0.095886964085449,0.184123827034439
2017-01-01,North America,0.712130057269087,0.102628988921429,0.199542957607092
2017-01-01,South America,0.704758016265098,0.083810425500993,0.210817961919764
2017-01-01,Western Europe,0.685836948007786,0.098349994565887,0.206065543182712
2018-01-01,Africa / Middle East,0.707715966462241,0.110589400018052,0.187648104061494
2018-01-01,Asia / Australia,0.659579805178781,0.08249730696408,0.255315421673632
2018-01-01,Eastern Europe,0.696078610648896,0.106947225521117,0.183200632276098
2018-01-01,North America,0.732383763512552,0.106821611624891,0.199624029919873
2018-01-01,South America,0.731621315863394,0.092777299446825,0.218236133001266
2018-01-01,Western Europe,0.69489531509249,0.104961689349769,0.211617478378446
2019-01-01,Africa / Middle East,0.696085007205547,0.111290318540965,0.251196683218742
2019-01-01,Asia / Australia,0.646399648481757,0.088276936354632,0.293623164995922
2019-01-01,Eastern Europe,0.68969279758384,0.110010345100876,0.225191956098232
2019-01-01,North America,0.737956609478462,0.122272051280287,0.230617921337177
2019-01-01,South America,0.734899487456542,0.11390655409665,0.247659122148378
2019-01-01,Western Europe,0.689722532816911,0.110646585132213,0.260818889604626
2020-01-01,Africa / Middle East,0.692860026720113,0.11094627922514,0.280549459739511
2020-01-01,Asia / Australia,0.644392618515493,0.080649526452983,0.321232471965618
2020-01-01,Eastern Europe,0.697679602144919,0.112283075572895,0.220849185994513
2020-01-01,North America,0.723696735915067,0.117941025855179,0.239082651994952
2020-01-01,South America,0.723054702257272,0.109965658407176,0.231602050211491
2020-01-01,Western Europe,0.687287379843266,0.107302497769612,0.263005730378626
2021-01-01,Africa / Middle East,0.677456636405137,0.099082762741103,0.273924232406373
2021-01-01,Asia / Australia,0.63342449276109,0.072929412184288,0.318924796723901
2021-01-01,Eastern Europe,0.684766448806391,0.09136829482475,0.187344393009117
2021-01-01,North America,0.702555099367241,0.105795693588559,0.251975969635314
2021-01-01,South America,0.705651587455215,0.102291862322887,0.255302555486612
2021-01-01,Western Europe,0.676604251839638,0.092404504201045,0.238210954442701
